song_base,source,variant,ref_len,hyp_len,wer,cer,lev_dist_chars,rougeL_f1,uni_prec,uni_rec,uni_f1
Mira---Duro_large-v2,whisperx,15,272,292,0.227941,0.169739,221,0.840426,0.828767,0.889706,0.858156
Mira---Duro_large-v2,whisperx,None,272,312,0.261029,0.207373,270,0.832192,0.791667,0.908088,0.845890
Mira---Duro_large-v3-turbo,whisperx,15,272,306,0.220588,0.172811,225,0.851211,0.813725,0.915441,0.861592
Mira---Duro_large-v3-turbo,whisperx,None,272,315,0.250000,0.201997,263,0.841567,0.796825,0.922794,0.855196
Madilyn-Bailey---Titanium,whisper_openai,large-v2,207,196,0.082126,0.070658,72,0.947891,0.974490,0.922705,0.947891
Madilyn-Bailey---Titanium,whisper_openai,large-v3,207,234,0.251208,0.232581,237,0.866213,0.824786,0.932367,0.875283
Madilyn-Bailey---Titanium,whisper_timestamped,large-v2,207,74,0.681159,0.642787,655,0.469751,0.891892,0.318841,0.469751
Madilyn-Bailey---Titanium,whisper_timestamped,large-v3,207,121,0.454106,0.417076,425,0.689024,0.950413,0.555556,0.701220
Madilyn-Bailey---Titanium,whisper_timestamped,small,207,119,0.516908,0.449460,458,0.613497,0.848739,0.487923,0.619632
Madilyn-Bailey---Titanium_large-v2,whisperx,15,207,198,0.086957,0.049068,50,0.933333,0.954545,0.913043,0.933333
Madilyn-Bailey---Titanium_large-v2,whisperx,None,207,198,0.082126,0.052012,53,0.943210,0.974747,0.932367,0.953086
Madilyn-Bailey---Titanium_large-v3-turbo,whisperx,15,207,194,0.164251,0.079490,81,0.867830,0.902062,0.845411,0.872818
Madilyn-Bailey---Titanium_large-v3-turbo,whisperx,None,207,199,0.111111,0.071639,73,0.921182,0.949749,0.913043,0.931034
Marize---Quem-Me-Dera,whisper_openai,large-v2,276,323,0.217391,0.162921,232,0.878130,0.817337,0.956522,0.881469
Marize---Quem-Me-Dera,whisper_openai,large-v3,276,322,0.210145,0.134129,191,0.882943,0.822981,0.960145,0.886288
Marize---Quem-Me-Dera,whisper_timestamped,large-v2,276,222,0.278986,0.240169,342,0.815261,0.918919,0.739130,0.819277
Marize---Quem-Me-Dera,whisper_timestamped,large-v3,276,542,1.010870,1.017556,1449,0.643032,0.487085,0.956522,0.645477
Marize---Quem-Me-Dera-whisperx-large-v3-turbo-15,whisperx,,276,270,0.105072,0.047753,68,0.919414,0.940741,0.920290,0.930403
Marize---Quem-Me-Dera-whisperx-large-v3-turbo-None,whisperx,,276,276,0.068841,0.023174,33,0.942029,0.945652,0.945652,0.945652
